UVA_Irradiance,UVB_Irradiance,UV_Index,Wind_2M,Temp,Temp_Max,Temp_Min,Spec_Humidity,Rel_Humidity,Precipitation,Pressure,Wind_10M,Wind_Dir_10M,Year,Month,States,Y,Status,Season
0.3478,0.0091,1.97,2.43,24.15,33.99,15.94,3.93,22.06,0,95.72,3.85,12.9,2025,2,Telangana,Outbreak,1,Winter
0.1793,0.0053,1.13,5.88,30,30.13,29.87,20.98,78.91,4.44,100.63,6.81,284,2024,5,Indian Exclusive Economic Zone,Outbreak,1,Summer
0.3694,0.0108,2.36,1.68,29.99,30.6,29.25,19.72,74.52,3.47,100.9,1.84,247.9,2024,5,Indian Exclusive Economic Zone,Outbreak,1,Summer
0.1934,0.0031,0.66,1.96,13.41,23.12,6.28,2.98,33.85,0,98.7,3.4,322.3,2014,12,Chandigarh,Outbreak,1,Winter
0.1452,0.0024,0.51,1.23,8.96,15.62,4.68,3.89,48.03,0,88.07,1.95,356.8,2021,1,Jammu and Kashmir,Outbreak,1,Winter
0.1174,0.0017,0.36,1.19,-2.46,0.41,-7.02,3.46,82.24,8.37,74.68,1.87,41,2021,2,Jammu and Kashmir,Outbreak,1,Winter
0.3691,0.0065,1.33,1.08,0.88,5.87,-4.9,3.78,71.46,0.08,74.49,1.61,41.5,2021,2,Jammu and Kashmir,Outbreak,1,Winter
0.3283,0.0074,1.55,1.28,3.68,8.63,-1.37,3.93,60.32,0,74.41,1.83,7.3,2021,3,Jammu and Kashmir,Outbreak,1,Summer
0.2659,0.0055,1.13,1.37,7.07,12.85,0.71,5.54,70.19,0.01,77.95,2.02,158.8,2021,3,Jammu and Kashmir,Outbreak,1,Summer
0.1375,0.0019,0.41,1.01,-0.28,3.56,-2.82,3.59,76.18,3.44,77.95,1.53,43.1,2021,2,Jammu and Kashmir,Outbreak,1,Winter
0,0,0,2.24,28.29,31.9,25.07,21.31,86.64,2.01,97.71,3.36,107.5,2025,8,Delhi,Outbreak,1,Monsoon
0,0,0,1.99,27.6,31.74,23.76,20.66,86.22,0.87,96.48,3.06,280.9,2025,8,Uttar Pradesh,Outbreak,1,Monsoon
0,0,0,1.74,28.44,31.83,25.9,21.79,86.49,5.14,96.34,2.59,265.5,2025,8,Uttar Pradesh,Outbreak,1,Monsoon
0.3139,0.0091,1.96,2.08,30.3,33.72,26.52,20.2,72.75,2.87,96.35,3.02,129.3,2025,7,Uttar Pradesh,Outbreak,1,Monsoon
0.2587,0.0079,1.69,2.56,29.13,31.62,26.89,21.47,84.54,6.23,99.67,3.32,226.1,2025,7,Odisha,Outbreak,1,Monsoon
0.1716,0.0053,1.15,4.03,28.66,30.84,27.11,20.95,84.63,14.64,99.58,5.17,237.9,2025,7,Odisha,Outbreak,1,Monsoon
0.2465,0.0062,1.35,2,32.33,38.82,26.17,15.21,51.96,3.21,99.25,2.79,85.3,2025,5,Uttar Pradesh,Outbreak,1,Summer
0.4306,0.0118,2.52,3.65,28.76,36.68,21.79,11.21,46.87,0,93.64,4.89,300.5,2025,5,Karnataka,Non_Outbreak,0,Summer
0.3307,0.0077,1.64,3.84,24.03,32.65,17.47,4.39,26.47,0,99.73,5.6,271.3,2025,3,Bihar,Outbreak,1,Summer
0.2926,0.0082,1.74,1.85,31.11,40.27,23.67,11.76,47.44,0,100.12,2.65,129.4,2025,3,Andhra Pradesh,Outbreak,1,Summer
